entity_type,dict_key,mention_count,row_count,sources,canonical_names
PN,a-lá-hi-im,367,298,lexicon,Ali-aḫu
PN,a-la-hi-im,367,298,lexicon,Ali-aḫu
PN,en-um-a-šur,356,243,onomasticon,Enum-Aššur
PN,en-um-a-šùr,356,243,onomasticon,Enum-Aššur
PN,ša-lim-a-šur,227,152,lexicon; onomasticon,Šalim-Aššur
PN,en-nam-a-šùr,185,145,onomasticon,Enum-Aššur
PN,en-nam-a-šur,185,145,lexicon; onomasticon,Ennam-Aššur
PN,e-lá-ma,173,114,lexicon; onomasticon,Elamma
PN,e-la-ma,173,114,lexicon; onomasticon,Elamma
PN,šu-ištar,167,129,lexicon; onomasticon,Šu-Ištar
PN,a-šur-ma-lik,161,134,onomasticon,Ašurmalik
PN,a-šùr-ma-lik,161,134,onomasticon,Ašurmalik
PN,a-mur-ištar,151,120,lexicon; onomasticon,Amur-Ištar
PN,en-na-sú-in,149,117,lexicon,Ennam-Suen
PN,a-šùr-du10,134,86,lexicon; onomasticon,Aššur-ṭab; Aššur-ṭāb
PN,ša-lim-a-šùr,133,93,lexicon; onomasticon,Šalim-Aššur
PN,šál-ma-a-šur,129,87,lexicon; onomasticon,Šalim-Aššur
PN,a-šùr-i-mì-ti,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šur-i-mì-tí,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šùr-i-mì-tí,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šur-i-mì-ti,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šur-i-mì-tì,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šùr-i-mi-ti,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šur-ì-mì-tí,115,89,lexicon; onomasticon,Aššur-imittī
PN,a-šur-i-mi-ti,115,89,lexicon; onomasticon,Aššur-imittī
PN,lá-qé-ep,104,79,lexicon,Lā-qēpu
PN,a-lá-hu-um,98,86,lexicon,Ali-aḫu
PN,a-la-hu-um,98,86,lexicon,Ali-aḫu
PN,i-tur4-dingir,94,83,lexicon; onomasticon,Itūr-ilī
PN,puzur4-a-šùr,89,77,lexicon; onomasticon,Puzur-Aššur
PN,puzur4-a-šur,89,77,lexicon; onomasticon,Puzur-Aššur
PN,en-na-nim,85,78,lexicon,Ennānu
PN,i-ku-pí-a,81,66,onomasticon,Ikupia
PN,i-dí-a-bi-im,81,63,lexicon,Iddin-abu
PN,a-šur-na-da,76,60,lexicon; onomasticon,Aššur-nādā
PN,ku-li-a,74,43,lexicon; onomasticon,Kulia; Kuliā
PN,a-šur-du10,73,49,lexicon; onomasticon,Aššur-ṭab; Aššur-ṭāb
PN,a-mur-a-šùr,71,54,lexicon; onomasticon,Amur-Aššur
PN,a-mur-a-šur,71,54,lexicon; onomasticon,Amur-Aššur
PN,i-dí-a-šur,70,55,onomasticon,Idi-Aššur
PN,i-dí-a-šùr,70,55,onomasticon,Idi-Aššur
PN,pì-lá-ah-ištar,67,44,lexicon; onomasticon,Pilah-Ištar; Pilaḫ-Ištar
PN,pì-la-ah-ištar,67,44,lexicon; onomasticon,Pilah-Ištar; Pilaḫ-Ištar
PN,pí-la-ah-ištar,67,44,lexicon; onomasticon,Pilah-Ištar; Pilaḫ-Ištar
PN,pí-lá-ah-ištar,67,44,lexicon; onomasticon,Pilah-Ištar; Pilaḫ-Ištar
PN,a-bu-ša-lim,64,43,lexicon,Abum-šali
PN,šu-be-lim,64,57,lexicon,Šu-Bēlu
PN,a-šùr-i-dí,62,45,lexicon; onomasticon,Aššur-idī
PN,a-šur-i-dí,62,45,lexicon; onomasticon,Aššur-idī
PN,a-šur-i-dì,62,45,lexicon; onomasticon,Aššur-idī
PN,a-šùr-i-dì,62,45,lexicon; onomasticon,Aššur-idī
PN,a-šùr-ba-ni,61,55,lexicon; onomasticon,Aššur-bāni; Aššur-bānī
PN,šu-{d}en.líl,58,39,lexicon; onomasticon,Šu-Enlil
PN,dan-a-šur,58,45,lexicon; onomasticon,Dan-Aššur; Dān-Aššur
PN,dan-a-šùr,58,45,lexicon; onomasticon,Dan-Aššur; Dān-Aššur
PN,a-dí-da,58,52,lexicon; onomasticon,Adida
PN,i-dí-a-bi4-im,56,52,lexicon,Iddin-abu
PN,a-šùr-be-el-a-wa-tim,55,48,lexicon,Aššur-bēl-awāti
PN,be-lúm-ba-ni,54,38,lexicon; onomasticon,Belum-bani; Bēlum-bāni; Bēlum-bānī
PN,i-lí-a,50,39,lexicon,Eliā
PN,šu-ku-bi-im,49,40,lexicon,Šu-Kūbu
PN,ili5-ba-ni,49,42,lexicon; onomasticon,Ilī-bāni; Ilī-bānī
PN,ma-ma-hi-ir,49,39,lexicon; onomasticon,Man-maḫir; Man-māhir
PN,hi-na-a,47,37,lexicon,Ḫinnā
PN,kur-ub-ištar,46,36,lexicon; onomasticon,Kurub-Ištar
PN,šu-a-šur,46,36,lexicon; onomasticon,Šu-Aššur
PN,šu-a-šùr,46,36,lexicon; onomasticon,Šu-Aššur
